                REGISTER JASKÝŇ
     Názov                                 Číslo jaskyne
Bielovodská jaskyňa 5                                 6 890
Bielovodská jaskyňa 6                                 6 891
Biely dych                                            6 671
Biely had                                             5 280
Biely potok                                           7 124
Bivak                                                 4 426
Bivak                                                 5 564
Bivak nad Teplicou                                    3 903
Bivak pri Cukrovej homoli                             3 785
Bivak pri Studni                                      3 904
Bivaková jaskyňa                                      1 132
Bivaková jaskyňa                                      1 485



                                      Page 4 of 131
Bivaková jaskyňa                                         5 774
Bivaková jaskyňa                                         5 565
Bivaková jaskyňa                                           911
Bivaková jaskyňa                                         1 403
Bivaková jaskyňa                                           836
Bivaková jaskyňa v Adamovom úvozku                           1
Bivaková jaskyňa v Brezine                                   2
Bivaková jaskynka na Oblíku                              2 675
Bivaková medzibloková jaskyňa                            5 902
Bivaková v Čiernej hore                                  2 686
Bivaková v Hlbokej dolinke                               2 224
Bivakový previs                                            244
Blajzloch                                                4 427
Blajzloch 1                                              4 428
Blajzloch 2                                              4 429
Blatistá priepasť                                        2 691
Blatnačka                                                  512
Blatnická jaskyňa                                        6 278
Bloková jaskyňa                                            245
Blšia jaskyňa                                            3 221
Blšia jaskyňa                                            5 163
Blšia jaskyňa                                              152
Bludičkina jaskyňa                                       4 939
Bluskova jaskyňa                                         1 241
Bobačka                                                  3 905
Bobikov kanál                                            1 486
Bobkový previs                                           3 786
Bocianska jaskyňa                                        1 458
Bočková jaskyňa                                            869
Bočná jaskyňa                                            1 488
Bočná jaskyňa                                            1 487
Bočný výver Teplice                                      3 058
Bodnárova priepasť                                       2 692
Bodolová                                                 3 906
Bodovský ponor                                           2 450
Bogaz                                                    6 008
Bohušov úkryt                                            5 775
Bojarská jaskyňa                                         1 489
Bojnická hradná jaskyňa                                    455
Borinský jaskynný systém                                 1 343
    Jubilejná jaskyňa                          1343.1.
    Majkova jaskyňa                            1343.2.
    Stará garda                                1343.3.
Borišove včely                                           3 907
Boroškova jaskyňa                                        6 142
Borová hora                                              7 143
Bôrová priepasť                                          6 672
Bôrové                                                   7 108
Borovičková jaskyňa v Sivej skale                          143
Borovičková priepasť                                     2 854
Borsučia jaskyňa 1                                       2 327
Borsučia jaskyňa 2                                       2 328
Borsukova diera                                          3 461
Bosorka                                                  6 143
Boženka                                                  3 908
BP 1                                                     5 204



                                     Page 5 of 131
Brada                                                        715
Brána pod Panenskou baštou                                 1 221
Brána v Podkove                                            1 490
Bránička                                                   5 566
Brankova skrýša                                            2 432
Bratislavská priepasť                                      6 009
Bratislavská sonda nad Svišťovou dolinou                   5 903
Bratova jaskyňa                                            3 462
Bratská priepasť                                           2 693
Brázda                                                     3 463
Brcova diera 1                                             5 327
Brcova diera 2                                             5 328
Brcova diera 3                                             5 329
Brdce                                                      6 602
Brdo I                                                     2 162
Brdo II                                                    2 163
Brečtanka                                                  3 909
Brečtanová diera                                           2 855
Brečtanová jaskyňa                                         2 495
Brečtanová jaskyňa                                           789
Brečtanová jaskyňa                                         3 464
Brečtanová priepasť                                        2 694
Brekciová jaskyňa                                          2 856
Brekovská jaskyňa                                          6 849
Brestová jaskyňa                                           3 910
Brestová previs                                            3 911
Brestovica 1                                               5 142
Brestovica 2                                               5 143
Brestovská jaskyňa                                         6 107
Brestovská vyvieračka                                      6 108
Breza                                                      1 491
Brezina                                                    5 164
Brezová priepasť                                           3 465
Brezový ponor                                              3 059
Brigádnická jaskyňa                                        7 017
Brloh                                                      3 912
Brloh                                                      1 493
Brloh                                                      6 892
Brloh                                                      5 567
Brloh                                                         70
Brloh                                                        679
Brloh                                                      6 673
Brloh                                                      6 250
Brloh                                                      1 494
Brloh                                                      1 492
Brloh                                                      5 776
Brloh A - medvedí                                          1 495
Brloh na Hrádkovej                                           513
Brloh nad Márnicou                                           213
Brloh nad Nitricou                                         5 024
Brloh nad pastierňou                                       3 913
Brloh nad Vápenicou                                          977
Brloh nad vodopádom Šuštiačka                              1 496
Brloh pod Dierou s oknom                                   1 497
Brloh pod Jazvínskou jaskyňou                              6 219
Brloh pod škrapovitým machom                               3 914



                                           Page 6 of 131
Brloh pri Stanišovskej jaskyni                           1 498
Brloh v Obertovici                                       1 499
Brloh v Ondrašovských skalách                            7 211
Brloh v Polenke                                          7 212
Brloh v Sitieni                                          1 500
Brloh v Skalnej dolinke                                    716
Brloh v záreze železničky pod Benkovom                   2 210
Brloh 1                                                  1 242
Brloh 2                                                  5 568
Brloh 2                                                  1 243
Brloh 3                                                  1 244
Brlohová diera                                           1 133
Brložná diera                                            5 034
Brložné 1                                                7 095
Brložné 2                                                7 096
Brložné 3                                                7 097
Brložné 4                                                7 098
Brložné 5                                                7 099
Brložné 6                                                7 100
Brložné 7                                                7 101
Brložné 8                                                7 102
Brlôžtek                                                 7 149
Brlôžtek nad Porúbkou                                    1 501
Brnovo                                                   3 915
Brodňanského jaskyňa                                     6 674
Brtkovica                                                1 502
Brtkovica II                                             1 503
Bruchatá                                                 4 430
Brunova diera                                            4 431
Brusnícka jaskyňa                                        2 282
Brzotínska brána                                         3 466
Brzotínska medvedia jaskyňa                              3 467
Bublina                                                  4 432
Bublina                                                  1 504
Bublina                                                    193
Bublinová jaskyňa                                        3 916
Budinská jaskyňa                                         2 283
Búdka                                                    2 695
Budulínkov ponor                                         3 917
Bufet                                                    5 330
Bujakova priepasť                                        3 222
Bujná                                                    3 468
Bujná priepasť                                           3 469
Buková diera                                             5 739
Buková jama                                              3 223
Buková priepasť                                          3 470
Buková 30                                                3 060
Bukovec                                                  6 675
Bukovecká jaskyňa                                        4 940
Bukovecká priepasť                                       3 471
Buksiho diera                                              611
Buksiho diera                                            3 787
Bunker                                                   5 035
Bunker                                                   3 918
Bunker                                                   4 433
Burda                                                    2 589



                                         Page 7 of 131
Burda 2                                                2 590
Burda 3                                                2 591
Burda 4                                                2 592
Búrka                                                  5 777
Butkov 1                                               5 107
Butkov 2                                               5 108
Butkov 3                                               5 109
Butkov 4                                               5 110
Butkov 5                                               5 111
Butkov 6                                               5 112
Buzák 2                                                1 505
Býčia jaskyňa                                          2 857
Bystrianska jaskyňa - Nová jaskyňa                       311
    Bystrianska jaskyňa                       311.1.
    Nová jaskyňa                              311.2.
Bystriansky závrt                                        312
Cajla                                                  1 344
Cajla 2                                                1 345
Camberova sonda                                        2 354
Céger                                                  3 472
Cégerský tunel                                         3 473
Celiny                                                 2 397
Cencúle                                                2 593
Cenkavá jaskyňa                                        2 594
Ceriny 1                                                 612
Ceriny 2                                                 613
Cesnakovka                                             2 858
Cickova jaskyňa                                          456
Cigánka                                                6 083
Cigánka                                                4 434
Cigánka 1                                              3 919
Cigánka 1                                              4 435
Cigánka 2                                              4 436
Cigánka 2                                              7 161
Cigánka 2                                              3 920
Cigánka 3                                              7 162
Cigánka 3                                              3 921
Cigánka 4                                              3 922
Cigánska diera                                         3 923
Cigánska jaskyňa                                       4 942
Cigánska jaskyňa                                       4 941
Cigánsky komín                                           680
Cintorínska jaskyňa                                      564
Cisová                                                   555
Ctiborova skrýša                                       2 451
Cucák                                                  3 924
Cukrová jama                                           3 061
Cyklistická jaskyňa                                    2 393
Čabradský previs                                         818
Čachtická jaskyňa                                      1 186
Čajkova jaskyňa                                        6 109
Čakáreň                                                6 279
Čandikova diera                                          885
Čarova moréna                                          5 778
Čavojská jaskyňa                                       5 019
Čereňa                                                 2 394



                                     Page 8 of 131
Čerešňová jaskyňa                                     5 036
Čerešňová priepasť                                    2 696
Čerešňová priepasť                                    3 474
Čerje                                                 3 475
Čermeľ                                                3 788
Černá šachta                                          3 925
Čertov dych                                           2 859
Čertov chvost                                         2 860
Čertov roh                                            2 861
Čertov zrázok 1                                       6 280
Čertov zrázok 2                                       6 281
Čertov zrázok 3                                       6 282
Čertov zrázok 4                                       6 283
Čertov zrázok 5                                       6 284
Čertova diera                                         7 074
Čertova diera                                         4 437
Čertova diera                                         1 187
Čertova diera                                         2 862
Čertova diera                                         6 285
Čertova jama                                          3 224
Čertova jaskyňa                                       6 820
Čertova jaskyňa                                       4 438
Čertova jaskyňa                                       3 789
Čertova pec                                           2 207
Čertova pec                                           2 452
Čertova pec - Stoličková jaskyňa                      2 453
    Čertova pec                             2453.1.
    Stoličková jaskyňa                      2453.2.
Čertove rebro                                         6 220
Čertovica                                             2 395
Červená diera                                         3 225
Červená jaskyňa                                       5 205
Červená jaskyňa                                       3 790
Červená jaskyňa                                       5 904
Červená jaskyňa 1                                     5 037
Červená jaskyňa 2                                     5 038
Červená jaskyňa 3                                     5 039
Červená jaskyňa 4                                     5 040
Červená jaskyňa 5                                     5 041
Červená jaskyňa 6                                     5 042
Červená jaskyňa 7                                     5 043
Červená jaskyňa 8                                     5 044
Červená jaskyňa 9                                     5 045
Červená plazivka                                      3 926
Červená priepasť                                      3 062
Červená priepasť I                                    3 476
Červená priepasť II                                   3 477
Červená puklina                                       3 927
Červené skaly 1                                       6 893
Červené skaly 2                                       6 894
Červené skaly 3                                       6 895
Červenica 1                                           1 245
Červenica 2                                           1 246
Červenica 3                                           1 247
Červenica 4                                           1 248
Červenica 5                                           1 249



                                   Page 9 of 131
Červenica 6                                                 1 250
Červenica 7                                                 1 251
Červenodiera                                                3 928
Červený komín                                                 246
Červený skok                                                6 144
Česaná hora 1                                               5 206
Česaná hora 2                                               5 207
Četníkova svadba - Strážovská priepasť                      5 331
    Četníkova svadba                              5331.1.
    Strážovská priepasť                           5331.2.
Čiapka                                                      2 355
Čičiareň                                                    6 603
Čierna diera                                                6 010
Čierna jama                                                 3 226
Čierna jaskyňa                                              4 439
Čierna jaskyňa                                              6 874
Čierna jaskyňa                                              7 018
Čierna jaskyňa                                              6 896
Čierňava                                                    3 929
Čierne abri                                                 6 897
Čiernodolinková jaskyňa                                     1 418
Čiernohorský jaskynný systém                                5 905
   Čiernohorská nižná                             5905.1.
   Kamenné oči                                    5905.2.
   Malá jaskyňa                                   5905.3.
   Veterná jaskyňa                                5905.4.
Čierny vrch 1                                               5 096
Čierny vrch 2                                               5 097
Čierny vrch 3                                               5 098
Čierny zámok                                                3 930
Čierny závrt                                                5 165
Čierťaž                                                     1 506
Čikiho diera                                                3 478
Čikova diera                                                3 227
Činčianska jaskyňa                                             65
Čistá studňa                                                3 228
Čižma                                                       4 440
Čižma                                                       6 286
Čižmová jaskyňa                                             4 441
Čmeliak                                                     3 063
Črepová jaskyňa                                               153
Črchlica                                                    6 676
Čugaňa                                                        837
Čurgo                                                       3 161
Čurička                                                     3 931
Čutkovská jaskyňa                                           6 677
Ďakova jaskyňa                                                130
Daliborova jaskyňa                                          4 442
Danielka                                                      514
Danielova diera                                             4 443
Danka                                                       2 496
Danubitová jaskyňa                                          6 287
Darovaná jaskyňa                                               80
