                REGISTER JASKÝŇ
     Názov                                 Číslo jaskyne
Jaskyňa pod školou                                  4 955
Jaskyňa pod Teplým vrchom                           2 515
Jaskyňa pod terasou                                 3 891
Jaskyňa pod Textorisovou 1                          6 355
Jaskyňa pod Textorisovou 2                          6 356
Jaskyňa pod tisom                                   4 956
Jaskyňa pod tunelom                                 4 589
Jaskyňa pod Tunelovou                               6 357
Jaskyňa pod Úplaznou skalou I                       1 633
Jaskyňa pod Úplaznou skalou II                      1 634
Jaskyňa pod Úplazom                                 5 918
Jaskyňa Pod Úpnou                                     732
Jaskyňa pod úšustom                                 1 635
Jaskyňa pod Úvalom 1                                5 380
Jaskyňa pod Úvalom 2                                5 381
Jaskyňa pod Úvalom 3                                5 382
Jaskyňa pod Úvalom 4                                5 383



                                   Page 39 of 131
Jaskyňa pod úvalom 5                               5 384
Jaskyňa pod Vabcom                                   889
Jaskyňa pod valom                                  3 819
Jaskyňa pod Veľkou kopou                           6 156
Jaskyňa pod Veľkým Kriváňom 2                        926
Jaskyňa pod Veľkým Kriváňom 1                        927
Jaskyňa pod Veľkým previsom                          890
Jaskyňa pod Vencovou skalou                          988
Jaskyňa pod vežami                                    71
Jaskyňa pod vežou                                  4 048
Jaskyňa pod vežou                                  6 358
Jaskyňa pod vežou                                  5 810
Jaskyňa pod vodopádom                              5 385
Jaskyňa pod Vrátnom                                1 153
Jaskyňa pod Vraženou                               2 176
Jaskyňa pod vrcholom                               4 590
Jaskyňa pod vrcholom                                 422
Jaskyňa pod vyhliadkou                             6 826
Jaskyňa pod vyhliadkou                             3 268
Jaskyňa pod vyhliadkou                             1 068
Jaskyňa pod vyhliadkou                             6 921
Jaskyňa pod Vyhliadkou 1                           5 588
Jaskyňa pod Vyhliadkou 2                           5 589
Jaskyňa pod Vyhliadkou 3                           5 590
Jaskyňa pod Vyhliadkou 4                           5 591
Jaskyňa pod Vyrúbaním                              2 460
Jaskyňa pod Vysokou                                1 272
Jaskyňa pod Vysokou                                4 957
Jaskyňa pod Vysokou I                              3 088
Jaskyňa pod Vysokou IV                             3 089
Jaskyňa pod Výškou                                 1 154
Jaskyňa pod vývratom                               1 636
Jaskyňa pod Zálomom                                7 037
Jaskyňa pod Zapačom                                1 637
Jaskyňa pod Závojovým vodopádom                    4 591
Jaskyňa pod závrtom I                              1 273
Jaskyňa pod závrtom II                             1 274
Jaskyňa pod Zelenou horou                          4 592
Jaskyňa pod Zelenou jaskyňou                       4 593
Jaskyňa pod Zrazmi                                 5 226
Jaskyňa pod zrkadlom                               5 227
Jaskyňa pod Zrútenou                                 624
Jaskyňa pod Ždiarom                                2 540
Jaskyňa pod Žmeňom                                 2 726
Jaskyňa poniže Vrátnej                             6 359
Jaskyňa potočníkov                                 4 049
Jaskyňa potoka Pešt                                  819
Jaskyňa pred Vrátami 1                               521
Jaskyňa pred Vrátami 2                               522
Jaskyňa pred Vrátami 4                               523
Jaskyňa predátora                                    928
Jaskyňa pri hrebeni                                5 592
Jaskyňa pri acetylénke                               383
Jaskyňa pri amfiteátri                             1 224
Jaskyňa pri Baranej                                1 638
Jaskyňa pri Baranej smrti                          1 639



                                  Page 40 of 131
Jaskyňa pri ceste                                  873
Jaskyňa pri ceste                                1 194
Jaskyňa pri ceste                                4 958
Jaskyňa pri ceste                                1 640
Jaskyňa pri ceste                                5 811
Jaskyňa pri ceste                                2 607
Jaskyňa pri Čertovej hlave                         166
Jaskyňa pri Ďulovej chate                        3 269
Jaskyňa pri Dvojke                               2 364
Jaskyňa pri Holom vrchu                          2 608
Jaskyňa pri hrane                                4 050
Jaskyňa pri Hrebeňovej                           1 641
Jaskyňa pri chate Hubná                          6 360
Jaskyňa pri chodníku                             1 642
Jaskyňa pri chodníku                             5 288
Jaskyňa pri chodníku                             5 919
Jaskyňa pri chodníku                             6 361
Jaskyňa pri chodníku                             2 134
Jaskyňa pri Chyži                                7 038
Jaskyňa pri Ignáci                                  35
Jaskyňa pri Janoškovom domove                      733
Jaskyňa pri javore                               4 594
Jaskyňa pri jedličke                             4 595
Jaskyňa pri Kamennej chate                       1 643
Jaskyňa pri kamennom moste                       3 090
Jaskyňa pri kameňolome                           5 116
Jaskyňa pri Kamzičej                             1 644
Jaskyňa pri kaplnke                              5 745
Jaskyňa pri Komoriciach 1                        5 386
Jaskyňa pri Komoriciach 2                        5 387
Jaskyňa pri Kopanici                             5 130
Jaskyňa pri kríži                                1 275
Jaskyňa pri križovatke                           2 609
Jaskyňa pri Kunej                                3 091
Jaskyňa pri ľadovej jame                         4 051
Jaskyňa pri lebke                                  846
Jaskyňa pri lome                                   824
Jaskyňa pri Lyžicovom závrte                     6 024
Jaskyňa pri Macikovej dolke                      6 922
Jaskyňa pri Maruškinom jarku                     2 610
Jaskyňa pri Miklušovciach                          218
Jaskyňa pri mlyne                                  682
Jaskyňa pri Mlynskom jarku                         571
Jaskyňa pri moste                                6 362
Jaskyňa pri moste                                4 052
Jaskyňa pri mŕtvej lani                          2 727
Jaskyňa pri nádrži                                 384
Jaskyňa pri Novej Lehote                         2 516
Jaskyňa pri odtrhnutej skale                     1 645
Jaskyňa pri ohnisku                              4 596
Jaskyňa pri Okne                                 1 646
Jaskyňa pri okne v Stodôlke                      1 647
Jaskyňa pri Osmičke                                929
Jaskyňa pri parkovisku                           1 354
Jaskyňa pri parkovisku                           1 648
Jaskyňa pri Pavlovciach                             32



                                Page 41 of 131
Jaskyňa pri Plažinovej polianke                        7 039
Jaskyňa pri ponore                                     6 113
Jaskyňa pri potoku                                       572
Jaskyňa pri potoku I                                     385
Jaskyňa pri potoku II                                    386
Jaskyňa pri potoku                                     2 408
Jaskyňa pri previse                                      167
Jaskyňa pri Ridzoňovcoch                               2 611
Jaskyňa pri skale                                      2 658
Jaskyňa pri skalnom okne                               4 597
Jaskyňa pri smreku                                       874
Jaskyňa pri smreku                                     1 649
Jaskyňa pri sonde                                      5 388
Jaskyňa pri sonde Čierťaž                              1 650
Jaskyňa pri splave                                     5 812
Jaskyňa pri Srnčej priepasti                           2 135
Jaskyňa pri starej píle                                4 053
Jaskyňa pri starej skobe                               4 598
Jaskyňa pri starom chodníku                            1 651
Jaskyňa pri stene v Adamovom úvozku                        6
Jaskyňa pri Stratenskej                                4 599
Jaskyňa pri strome                                     4 600
Jaskyňa pri svätom Jozefovi                            5 389
Jaskyňa pri šachte                                     7 127
Jaskyňa pri Šarkanej diere                             5 693
Jaskyňa pri štôlni                                     3 092
Jaskyňa pri štrbavej lebke                             4 054
Jaskyňa pri štrbavej lebke 2                           4 055
Jaskyňa pri Ťavej skale                                6 363
Jaskyňa pri trati                                         53
Jaskyňa pri traverze                                   2 901
Jaskyňa pri Trenči                                       559
Jaskyňa pri Turíku II                                    477
Jaskyňa pri veľkom suťovisku 1                         5 390
Jaskyňa pri veľkom suťovisku 2                         5 391
Jaskyňa pri vojenských skladoch                        2 440
Jaskyňa pri výhľade I                                  2 728
Jaskyňa pri výhľade II                                 2 729
Jaskyňa pri Zlatej diere                               4 601
Jaskyňa pri Železnej bráne                               168
Jaskyňa pri žľabe                                      5 920
Jaskyňa pri Žleboch                                      478
Jaskyňa pri žltej značke                               2 902
Jaskyňa puklina                                        3 187
Jaskyňa P2                                             2 365
Jaskyňa P3                                             2 366
Jaskyňa P-5                                            1 355
Jaskyňa rozprávkových zvukov                           2 231
Jaskyňa RP                                             1 356
Jaskyňa s bazou                                        1 652
Jaskyňa s bukom                                        5 228
Jaskyňa s hrobom                                       6 084
Jaskyňa s jazierkom                                    5 087
Jaskyňa s kamenným ihlanom                             5 173
Jaskyňa s klátikmi                                       479
Jaskyňa s komínom                                      6 701



                                      Page 42 of 131
Jaskyňa s komínom                                            1 069
Jaskyňa s mostom                                                95
Jaskyňa s náradím                                            6 702
Jaskyňa s okienkom                                           4 056
Jaskyňa s oknom                                              4 602
Jaskyňa s oknom                                                875
Jaskyňa s oknom                                              5 392
Jaskyňa s otváračom                                          4 057
Jaskyňa s ozvenou                                            1 653
Jaskyňa s plesňou                                            1 654
Jaskyňa s potokom                                               50
Jaskyňa s práchnivým drevom                                  5 393
Jaskyňa s prepážkou v Ondrašovských skalách                  7 230
Jaskyňa s rebríkom                                             524
Jaskyňa s úzkym vchodom                                        263
Jaskyňa s výzdobou                                           5 921
Jaskyňa salamandier                                          6 628
Jaskyňa salamandier vo veľkej abre                           1 019
Jaskyňa samotára                                             4 058
Jaskyňa sintrového vajca                                     4 059
Jaskyňa skalpov                                              5 308
Jaskyňa skeptika                                             5 229
Jaskyňa slnečného lúča                                       1 655
Jaskyňa so skobou                                            6 703
Jaskyňa so srnčou lebkou                                        96
Jaskyňa so stromom                                           5 922
Jaskyňa so závalom                                           6 629
Jaskyňa so závrtom                                             423
Jaskyňa so zrkadlom                                          7 040
Jaskyňa so žltou hlinou                                      1 656
Jaskyňa somar                                                2 333
Jaskyňa spiaceho jazveca                                     5 394
Jaskyňa spiaceho plcha                                       1 657
Jaskyňa SS-1                                                 1 195
Jaskyňa Stapi                                                3 093
Jaskyňa starých Habáncov                                     1 433
Jaskyňa starých objaviteľov-Balónová JS                      5 887
  Jaskyňa starých objaviteľov                      5887.1.
  Balónová                                         5887.2.
Jaskyňa storočného lístia                                    1 357
Jaskyňa strachu                                              1 276
Jaskyňa strateného noža                                      7 168
Jaskyňa strateného prsteňa                                   4 959
Jaskyňa strateného syna                                      1 358
Jaskyňa studeného vetra                                      2 136
Jaskyňa suchého lístia                                       5 395
Jaskyňa sv. Michala Archanjela 1                             6 255
Jaskyňa sv. Michala Archanjela 2                             6 256
Jaskyňa sv. Michala Archanjela 3                             6 257
Jaskyňa svätého prijímania                                   1 359
Jaskyňa Svetlonosa                                           6 157
Jaskyňa Šiša Pištu                                             820
Jaskyňa štíhlych                                               847
Jaskyňa štyroch medveďov                                     5 813
Jaskyňa tajomného potoka                                     2 137
Jaskyňa tam za rohom                                         5 230



                                          Page 43 of 131
Jaskyňa ťažkej hlavy                                      5 396
Jaskyňa teplej stráne                                     3 270
Jaskyňa tridsiatich jazvecov                              4 060
Jaskyňa troch hríbov                                      5 923
Jaskyňa Troch kráľov                                      1 658
Jaskyňa troch sráčov                                      4 603
Jaskyňa troch vchodov                                     5 231
Jaskyňa troch vchodov                                     1 360
Jaskyňa tunelová                                          6 364
Jaskyňa u pavúka križiaka                                 7 169
Jaskyňa u vtáka                                           1 659
Jaskyňa u zbojníka                                        5 397
Jaskyňa udavačov                                          6 704
Jaskyňa v abri                                            5 398
Jaskyňa v abri                                              264
Jaskyňa v amfiteátri                                      1 660
Jaskyňa v amfiteátri                                      6 923
Jaskyňa v amfiteátri pri Okne 1                           1 661
Jaskyňa v amfiteátri pri Okne 2                           1 662
Jaskyňa v amfiteátri v Čiernej dolinke                    1 663
Jaskyňa v Andrejovej skale I                                265
Jaskyňa v Andrejovej skale II                               266
Jaskyňa v Babej hore                                      2 274
Jaskyňa v Babinej I                                          55
Jaskyňa v Balnom                                          2 177
Jaskyňa v Belinskej rozsadline                              169
Jaskyňa v Belinskej sutine                                  170
Jaskyňa v Bielej skale                                    6 137
Jaskyňa v Bielych skalách                                   930
Jaskyňa v blokovisku 1                                    5 001
Jaskyňa v blokovisku 2                                    5 002
Jaskyňa v blokovisku 3                                    5 003
Jaskyňa v Bobrovci                                        6 085
Jaskyňa v brale                                           4 604
Jaskyňa v brale                                             978
Jaskyňa v brale                                           1 664
Jaskyňa v brale                                             734
Jaskyňa v brale I                                           324
Jaskyňa v brale nad červeným smrekom                        931
Jaskyňa v Brekovskom kameňolome                           6 852
Jaskyňa v Brezinách                                         979
Jaskyňa v brizolitovom lome                               5 399
Jaskyňa v Budinskej skale                                 2 287
Jaskyňa v Bušu                                            3 163
Jaskyňa v Buzáku                                          1 665
Jaskyňa v Centrálnom žľabe 1                              5 593
Jaskyňa v Centrálnom žľabe 2                              5 594
Jaskyňa v Centrálnom žľabe 3                              5 595
Jaskyňa v Centrálnom žľabe 4                              5 596
Jaskyňa v ceste nad Hutami                                  525
Jaskyňa v Čebrati                                         6 705
Jaskyňa v Čerťazi                                         6 561
Jaskyňa v Čertovej skale                                  6 706
Jaskyňa v Červenej skale 1                                7 041
Jaskyňa v Červenej skale 2                                7 042
Jaskyňa v Červenoskalskom lome                            4 061



                                         Page 44 of 131
Jaskyňa v Čiernej doline                                6 365
Jaskyňa v Čiernej hore                                    848
Jaskyňa v Čiernom močiari                                   7
Jaskyňa v Čiernom potoku 1                              5 694
Jaskyňa v Čiernom potoku 2                              5 695
Jaskyňa v Čiernom potoku 3                              5 696
Jaskyňa v Čiernom vrchu                                 5 400
Jaskyňa v Čifárskej skale                               2 407
Jaskyňa v Čipkových jamách                              4 062
Jaskyňa v Čube                                          3 892
Jaskyňa v Čube                                          5 728
Jaskyňa v Dedovej skale                                 1 070
Jaskyňa v Derežovej                                       849
Jaskyňa v Dlhej stene 1                                 5 814
Jaskyňa v Dlhej stene 2                                 5 815
Jaskyňa v Dobáku                                        1 666
Jaskyňa v doline                                          367
Jaskyňa v doline Dobrošovo                              6 158
Jaskyňa v doline Drienovského potoka                      573
Jaskyňa v doline Pružinky                               5 697
Jaskyňa v dolinke 1                                     6 827
Jaskyňa v dolinke 2                                     6 828
Jaskyňa v dolnom brale 1                                6 808
Jaskyňa v dolnom brale 2                                6 809
Jaskyňa v dolnom brale 3                                6 810
Jaskyňa v Dolnom Jelenci                                6 562
Jaskyňa v Dolných zvozoch                               7 231
Jaskyňa v Drevenom lome                                 2 417
Jaskyňa v Drienoveckom kameňolome                       3 094
Jaskyňa v Drieňovej                                     2 612
Jaskyňa v Dubovej                                       5 401
Jaskyňa v Dubovej skale 1                               5 145
Jaskyňa v Dubovej skale 2                               5 146
Jaskyňa v Dubovej skale 3                               5 147
Jaskyňa v Dubovej skale 4                               5 148
Jaskyňa v Dubovej skale 5                               5 149
Jaskyňa v Dubovej skale 6                               5 150
Jaskyňa v Dubovej skale 7                               5 151
Jaskyňa v Dúbrave 1                                       735
Jaskyňa v Dúbrave 2                                       736
Jaskyňa v Dúbrave 3                                       737
Jaskyňa v Dúbrave 4                                     2 232
Jaskyňa v Dúpnej skale I                                1 020
Jaskyňa v Dúpnej skale II                               1 021
Jaskyňa v Ďurčanke I                                    1 022
Jaskyňa v Ďurčanke II                                   1 023
Jaskyňa v Ďurkových skalách                               989
Jaskyňa v Dutej skale                                   1 002
Jaskyňa v dvojitom závrte                               4 063
Jaskyňa v dvorane 1                                     5 059
Jaskyňa v dvorane 2                                     5 060
Jaskyňa v Dzurovej                                        238
Jaskyňa v Ementáli 2                                    1 071
Jaskyňa v Ementáli 3                                    1 072
Jaskyňa v Ementáli 4                                    1 073
Jaskyňa v Ementáli 5                                    1 074



                                       Page 45 of 131
Jaskyňa v Ementáli 6                              1 075
Jaskyňa v Ementáli 7                              1 076
Jaskyňa v Ementáli 8                              1 077
Jaskyňa v Ementáli 9                              1 078
Jaskyňa v Ementáli 10                             1 079
Jaskyňa v Galičke                                 6 829
Jaskyňa v Galmuskej tisine 1                      6 924
Jaskyňa v Galmuskej tisine 2                      6 925
Jaskyňa v Galmuskej tisine 3                      6 926
Jaskyňa v geofyzikálnej štôlni                    2 903
Jaskyňa v Gibove                                  2 681
Jaskyňa v Goluvke 1                               6 927
Jaskyňa v Goluvke 2                               6 928
Jaskyňa v Goluvke 3                               6 929
Jaskyňa v Goluvke 4                               6 930
Jaskyňa v Goluvke 5                               6 931
Jaskyňa v Goluvke 6                               6 932
Jaskyňa v Gombaseckom lome                        3 271
Jaskyňa v Grúniku                                 2 233
Jaskyňa v Havranej skale                          5 698
Jaskyňa v Havranej skale                          1 277
Jaskyňa v Havranej skale I                        4 605
Jaskyňa v Havranej skale II                       4 606
Jaskyňa v Havránkach 1                            6 707
Jaskyňa v Havránkach 2                            6 708
Jaskyňa v Havránkach 3                            6 709
Jaskyňa v Havránkach 4                            6 710
Jaskyňa v Havránkach 5                            6 711
Jaskyňa v Havránkach 6                            6 712
Jaskyňa v Havránkach 7                            6 713
Jaskyňa v Havránkach 8                            6 714
Jaskyňa v Hladkom grúniku 1                         990
Jaskyňa v Hladkom grúniku 2                         991
Jaskyňa v Hlavačovici                             5 402
Jaskyňa v Hlavine                                 2 613
Jaskyňa v Hlbokej                                 2 234
Jaskyňa v Hlbokom                                 5 403
Jaskyňa v Hlbokom                                 1 667
Jaskyňa v Hluchej                                 5 404
Jaskyňa v Hoblíku 2                               1 080
Jaskyňa v Hoblíku 4                               1 081
Jaskyňa v Holej skale                             3 272
Jaskyňa v Holej skale II                          3 273
Jaskyňa v hornom brale                            6 811
Jaskyňa v Hornom Prietine                         5 405
Jaskyňa v Hradisku 1                              3 783
Jaskyňa v Hradisku 2                              3 784
Jaskyňa v Hradovici 1                             1 668
Jaskyňa v Hradovici 2                             1 669
Jaskyňa v Hrdoši 2                                6 715
Jaskyňa v Hrdoši 3                                6 716
Jaskyňa v Hrdoši 4                                6 717
Jaskyňa v Hrdoši 5                                6 718
Jaskyňa v Hrdoši 6                                6 719
Jaskyňa v Hrdoši 7                                6 720
Jaskyňa v Hrdoši 8                                6 721



                                 Page 46 of 131
Jaskyňa v Hrdoši 9                                     6 722
Jaskyňa v Hrdoši 10                                    6 723
Jaskyňa v Hrdoši 11                                    6 724
Jaskyňa v Hrdoši 12                                    6 725
Jaskyňa v Hrdošnej skale                               6 726
Jaskyňa v hrebeni Červených skál 1                     5 597
Jaskyňa v hrebeni Červených skál 2                     5 598
Jaskyňa v hrebienku                                    7 043
Jaskyňa v Hrubej klade                                   891
Jaskyňa v Hudákovskom ponore                           2 214
Jaskyňa v Chropatinci 1                                5 309
Jaskyňa v Chropatinci 2                                5 310
Jaskyňa v Chropatinci 3                                5 311
Jaskyňa v Jancovej skale                               5 406
Jaskyňa v Janovčej skale I                             5 232
Jaskyňa v Janovčej skale II                            5 233
Jaskyňa v Japeni                                       4 960
Jaskyňa v Jatkách                                      6 933
Jaskyňa v Javorine I                                   5 407
Jaskyňa v Javorine II                                  5 408
Jaskyňa v Javorovom štíte                              5 924
Jaskyňa v Jazvinách                                      814
Jaskyňa v Jazvinách                                      480
Jaskyňa v Jelenci 2                                    1 278
Jaskyňa v Jelenci 3                                    1 279
Jaskyňa v Jelenskej skale 1                            2 517
Jaskyňa v Jelenskej skale 2                            2 518
Jaskyňa v Jelenskej skale 3                            2 519
Jaskyňa v Jurkových skalách I                          5 409
Jaskyňa v Jurkových skalách II                         5 410
Jaskyňa v Kačove                                         980
Jaskyňa v Kamennom jarku                               2 614
Jaskyňa v Kamennom mori                                  171
Jaskyňa v kameňolome                                   6 229
Jaskyňa v kameňolome                                   5 117
Jaskyňa v kameňolome                                   1 003
Jaskyňa v kameňolome č.3                               2 367
Jaskyňa v kameňolome č.7                               2 368
Jaskyňa v kameňolome č.8                               2 369
Jaskyňa v kameňolome I                                 2 461
Jaskyňa v kameňolome II                                2 462
Jaskyňa v kameňolome III                               2 463
Jaskyňa v kameňolome na plošine                        2 334
Jaskyňa v kameňolome pod Skalkou                         675
Jaskyňa v kameňolome Potôčky 1,2                         325
   Jaskyňa v kameňolome Potôčky 1             325.1.
   Jaskyňa v kameňolome Potôčky 2             325.2.
Jaskyňa v kameňolome Potôčky 3                           326
Jaskyňa v kameňolome                                   2 730
Jaskyňa v kameňolome                                   2 541
Jaskyňa v kameňolome 2                                 6 251
Jaskyňa v kaňone                                       5 411
Jaskyňa v kaňone Čierneho Váhu                           738
Jaskyňa v Kapcovej skale                               2 904
Jaskyňa v katedre                                      6 086
Jaskyňa v Kavčiari                                     5 118



                                     Page 47 of 131
Jaskyňa v Kline                                      4 064
Jaskyňa v Kňahynej dolinke 2                         1 082
Jaskyňa v Kočinej hore 1                             5 174
Jaskyňa v Kočinej hore 2                             5 161
Jaskyňa v Kohútovke                                    850
Jaskyňa v Končitom                                     825
Jaskyňa v kopčeku                                    5 412
Jaskyňa v Kope nad Kraľovanmi                        6 727
Jaskyňa v Korbeľke                                   6 728
Jaskyňa v kosodrevine                                1 670
Jaskyňa v kosodrevine                                5 925
Jaskyňa v Kostolcoch                                 1 671
Jaskyňa v Kostolíku 1                                5 816
Jaskyňa v Kostolíku 2                                5 817
Jaskyňa v Kostolíku 3                                5 818
Jaskyňa v Kozom chrbte 1                             5 819
Jaskyňa v Kozom chrbte 2                             5 820
Jaskyňa v krakoch                                      876
Jaskyňa v Kráľovej doline 1                          1 280
Jaskyňa v Kráľovej doline 2                          1 281
Jaskyňa v Kráľovej doline 3                          1 282
Jaskyňa v Kraľovianskej kope 1                       6 729
Jaskyňa v Kraľovianskej kope 2                       6 730
Jaskyňa v Kraľovianskej kope 3                       6 731
Jaskyňa v Kraľovianskej kope 4                       6 732
Jaskyňa v Kraľovianskej kope 5                       6 733
Jaskyňa v Kraľovianskej kope 6                       6 734
Jaskyňa v Kraľovianskej kope 7                       6 735
Jaskyňa v Kraľovianskej kope 8                       6 736
Jaskyňa v Kraľovianskej kope 9                       6 737
Jaskyňa v Kraľovianskej kope 10                      6 738
Jaskyňa v Kraľovianskej kope 11                      6 739
Jaskyňa v Kraľovianskej kope 12                      6 740
Jaskyňa v Kraľovianskej kope 13                      6 741
Jaskyňa v Krížoch                                    5 152
Jaskyňa v Krkavčej skale                             3 188
Jaskyňa v Kubínskej holi                             2 264
Jaskyňa v Kunej doline                               5 153
Jaskyňa v Kurimianskej dolke                         4 607
Jaskyňa v kúte                                         424
Jaskyňa v Kútoch                                     3 164
Jaskyňa v kuželi                                     4 065
Jaskyňa v Lachu                                      2 416
Jaskyňa v Lieští                                     5 234
Jaskyňa v Liskovskom kameňolome 1                    2 370
Jaskyňa v Liskovskom kameňolome 2                    2 371
Jaskyňa v lome                                          36
Jaskyňa v lome I                                     6 252
Jaskyňa v lome I                                     2 585
Jaskyňa v lome I                                     5 821
Jaskyňa v lome II                                    5 822
Jaskyňa v lome II                                    2 586
Jaskyňa v lome III                                   2 587
Jaskyňa v lome na Vápniku                            2 409
Jaskyňa v lome Pažic                                   425
Jaskyňa v lome Plešivec                              3 274



                                    Page 48 of 131
Jaskyňa v lome pri Bielom potoku                       6 662
Jaskyňa v lome                                         4 066
Jaskyňa v lome 1                                       3 165
Jaskyňa v lome 1                                         625
Jaskyňa v lome 2                                       3 166
Jaskyňa v lome 3                                       3 167
Jaskyňa v lome 3                                         626
Jaskyňa v lome 4                                         627
Jaskyňa v lome 4                                          37
Jaskyňa v lome 5                                          38
Jaskyňa v Lopatách                                     6 366
Jaskyňa v Lopúchovom vrchu                               793
Jaskyňa v Lopušinách                                     481
Jaskyňa v Lopušnom                                     4 067
Jaskyňa v Ľubenej                                      6 367
Jaskyňa v Lúčanskom vodopáde                           2 372
Jaskyňa v maare                                          560
Jaskyňa v Madajke                                      6 114
Jaskyňa v machovej stene                               4 068
Jaskyňa v Malej Babej hore I                           2 275
Jaskyňa v Malej Babej hore II                          2 276
Jaskyňa v Malej Babej hore III                         2 277
Jaskyňa v Malom Lipovníckom Zombore                    2 905
Jaskyňa v Malom Rokoši I                               5 061
Jaskyňa v Malom Rokoši II                              5 062
Jaskyňa v Malom Sokole                                 1 672
Jaskyňa v Manínskej stráži                             5 599
Jaskyňa v Manínskom Verdone                            5 600
Jaskyňa v Martinčeku                                   2 373
Jaskyňa v Medvedej dolinke                             2 235
Jaskyňa v Medzibrodí                                   1 673
Jaskyňa v Medzivrší                                    5 413
Jaskyňa v Mlynáriku                                    5 926
Jaskyňa v Mlyništi                                     5 414
Jaskyňa v Mníchu                                       2 374
Jaskyňa v Modrovej 1                                   2 464
Jaskyňa v Modrovej 2                                   2 465
Jaskyňa v Mokrej doline                                1 674
Jaskyňa v Mokrej skale                                    56
Jaskyňa v Muráni I                                     6 563
Jaskyňa v Muráni II                                    6 564
Jaskyňa v Murániku                                     2 215
Jaskyňa v Myšačke                                        932
Jaskyňa v nemčianskom lome                             4 961
Jaskyňa v nemeckých báňach                             6 368
Jaskyňa v Odrdeli                                      3 820
Jaskyňa v Okrajovej skale                              2 906
Jaskyňa v Opálenom                                       851
Jaskyňa v Osičí                                        5 312
Jaskyňa v Ostrej hore                                     52
Jaskyňa v Ostrej skale                                 2 267
Jaskyňa v Ostrej skale                                 5 175
Jaskyňa v ostrohe 1                                      628
Jaskyňa v ostrohe 2                                      629
Jaskyňa v Ostrve                                       5 927
Jaskyňa v Ošici 1                                      2 311



                                      Page 49 of 131
Jaskyňa v Ošici 2                                         2 312
Jaskyňa v Ošici 3                                         2 313
Jaskyňa v Ošici 4                                         2 314
Jaskyňa v Ošici 5                                         2 315
Jaskyňa v Panskej hore                                    5 415
Jaskyňa v Panskom háji                                    6 742
Jaskyňa v pastierni                                       4 069
Jaskyňa v Pekle                                              57
Jaskyňa v Peknej skale                                    3 095
Jaskyňa v pieskovci                                          39
Jaskyňa v Pivničiskách 1                                    981
Jaskyňa v Pivničiskách 2                                    982
Jaskyňa v Pivničiskách 3                                    983
Jaskyňa v platni                                          5 601
Jaskyňa v Podhradišti-východná                            5 176
Jaskyňa v Podhradišti-západná                             5 177
Jaskyňa v ponore                                            327
Jaskyňa v ponore Jašteričieho jazera                      3 540
Jaskyňa v Porubskom kameňolome                            2 396
Jaskyňa v Prednej Kohútovej                                 852
Jaskyňa v Prednom Rokoši I                                5 063
Jaskyňa v prepadlisku                                     6 369
Jaskyňa v prepadlisku                                     6 880
Jaskyňa v prepadlisku pod magistrálou                     3 275
Jaskyňa v Prestretom vrchu                                5 235
Jaskyňa v previse                                         4 608
Jaskyňa v Prielome I                                      1 675
Jaskyňa v Prielome II                                     1 676
Jaskyňa v prielome Rohožníckeho potoka                    1 283
Jaskyňa v Priepadlách                                     2 335
Jaskyňa v Príslope                                          328
Jaskyňa v prvom žľabe 1                                   5 602
Jaskyňa v prvom žľabe 2                                   5 603
Jaskyňa v pukline                                         6 830
Jaskyňa v Rakšianskej doline                              6 370
Jaskyňa v Rakúskej Turni 1                                5 823
Jaskyňa v Rakúskej Turni 2                                5 824
Jaskyňa v Rakúskej Turni 3                                5 825
Jaskyňa v Rakúskej Turni 4                                5 826
Jaskyňa v Rakúskej Turni 5                                5 827
Jaskyňa v Rakúskej Turni 6                                5 828
Jaskyňa v Rakúskej Turni 7                                5 829
Jaskyňa v Rakúskej Turni 8                                5 830
Jaskyňa v Rakúskej Turni 9                                5 831
Jaskyňa v rebre                                           2 907
Jaskyňa v rokli                                           4 609
Jaskyňa v rokline                                           426
Jaskyňa v Sabovej skale                                   5 746
Jaskyňa v Salatíne                                        6 159
Jaskyňa v Samostrieli                                     5 416
Jaskyňa v sedielku                                        3 276
Jaskyňa v Sihoti                                          4 610
Jaskyňa v skalách                                         5 417
Jaskyňa v skale                                             739
Jaskyňa v skale                                           7 044
Jaskyňa v Skale                                           4 611



                                         Page 50 of 131
Jaskyňa v Skálí                                                 826
Jaskyňa v Skálí 1                                             5 289
Jaskyňa v Skálí 2 a3                                          5 290
Jaskyňa v skalke                                                387
Jaskyňa v skalke                                              2 731
Jaskyňa v Skalke                                              5 699
Jaskyňa v Skalke I                                            3 821
Jaskyňa v Skalke II                                           3 822
Jaskyňa v skalnej stene                                       1 083
Jaskyňa v skalnej stene                                       4 070
Jaskyňa v skalnej stene                                       6 934
Jaskyňa v skalnej stene vo Veľkej Stožke                      4 071
Jaskyňa v skalnej terase                                      6 371
Jaskyňa v skalnej veži                                        1 284
Jaskyňa v skalnom amfiteátri                                  1 677
Jaskyňa v skalnom amfiteátri I                                3 096
Jaskyňa v skalnom amfiteátri II                               3 097
Jaskyňa v skalnom amfiteátri 1                                1 678
Jaskyňa v skalnom amfiteátri 2                                1 679
Jaskyňa v skalnom amfiteátri 3                                1 680
